No,Penggunaan Lahan,Kerapatan Sungai,Jenis Tanah,Jarak dari Sungai,Curah Hujan,Kemiringan Lereng,Kelas Banjir,Kapanewon/Kemantren
2977,Padang Rumput,"2,27 - 3,10 km/km2",Fluvisol,100 - 250 m (Sedang),500 - 1000 mm/th (Agak Rendah),0-8% (Datar),Sedang,Pundong
2978,Padang Rumput,"2,27 - 3,10 km/km2",Fluvisol,100 - 250 m (Sedang),500 - 1000 mm/th (Agak Rendah),8-15% (Landai),Sedang,Pundong
2979,Padang Rumput,"2,27 - 3,10 km/km2",Fluvisol,100 - 250 m (Sedang),500 - 1000 mm/th (Agak Rendah),15-25% (Agak Curam),Sedang,Pundong
2980,Padang Rumput,"2,27 - 3,10 km/km2",Fluvisol,100 - 250 m (Sedang),500 - 1000 mm/th (Agak Rendah),25-40% (Curam),Sedang,Pundong
2981,Padang Rumput,"2,27 - 3,10 km/km2",Fluvisol,100 - 250 m (Sedang),500 - 1000 mm/th (Agak Rendah),>40% (Sangat Curam),Sedang,Pundong
2982,Padang Rumput,"2,27 - 3,10 km/km2",Fluvisol,250 - 500 m (Jauh),500 - 1000 mm/th (Agak Rendah),0-8% (Datar),Sedang,Pundong
2983,Padang Rumput,"2,27 - 3,10 km/km2",Fluvisol,250 - 500 m (Jauh),500 - 1000 mm/th (Agak Rendah),8-15% (Landai),Sedang,Pundong
2984,Padang Rumput,"2,27 - 3,10 km/km2",Fluvisol,250 - 500 m (Jauh),500 - 1000 mm/th (Agak Rendah),15-25% (Agak Curam),Sedang,Pundong
2985,Padang Rumput,"2,27 - 3,10 km/km2",Fluvisol,250 - 500 m (Jauh),500 - 1000 mm/th (Agak Rendah),25-40% (Curam),Rendah,Pundong
2986,Padang Rumput,"2,27 - 3,10 km/km2",Fluvisol,250 - 500 m (Jauh),500 - 1000 mm/th (Agak Rendah),>40% (Sangat Curam),Rendah,Pundong
2987,Padang Rumput,">3,10 km/km2",Litosol,0 - 50 m (Sangat Dekat),500 - 1000 mm/th (Agak Rendah),0-8% (Datar),Sedang,Pundong
2988,Padang Rumput,">3,10 km/km2",Litosol,0 - 50 m (Sangat Dekat),500 - 1000 mm/th (Agak Rendah),8-15% (Landai),Sedang,Pundong
2989,Padang Rumput,">3,10 km/km2",Litosol,0 - 50 m (Sangat Dekat),500 - 1000 mm/th (Agak Rendah),15-25% (Agak Curam),Sedang,Pundong
2990,Padang Rumput,">3,10 km/km2",Litosol,0 - 50 m (Sangat Dekat),500 - 1000 mm/th (Agak Rendah),25-40% (Curam),Sedang,Pundong
2991,Padang Rumput,">3,10 km/km2",Litosol,0 - 50 m (Sangat Dekat),500 - 1000 mm/th (Agak Rendah),>40% (Sangat Curam),Sedang,Pundong
2992,Padang Rumput,">3,10 km/km2",Litosol,50 - 100 m (Dekat),500 - 1000 mm/th (Agak Rendah),0-8% (Datar),Sedang,Pundong
2993,Padang Rumput,">3,10 km/km2",Litosol,50 - 100 m (Dekat),500 - 1000 mm/th (Agak Rendah),8-15% (Landai),Sedang,Pundong
2994,Padang Rumput,">3,10 km/km2",Litosol,50 - 100 m (Dekat),500 - 1000 mm/th (Agak Rendah),15-25% (Agak Curam),Sedang,Pundong
2995,Padang Rumput,">3,10 km/km2",Litosol,50 - 100 m (Dekat),500 - 1000 mm/th (Agak Rendah),25-40% (Curam),Sedang,Pundong
2996,Padang Rumput,">3,10 km/km2",Litosol,50 - 100 m (Dekat),500 - 1000 mm/th (Agak Rendah),>40% (Sangat Curam),Sedang,Pundong
2997,Padang Rumput,">3,10 km/km2",Litosol,100 - 250 m (Sedang),500 - 1000 mm/th (Agak Rendah),0-8% (Datar),Sedang,Pundong
2998,Padang Rumput,">3,10 km/km2",Litosol,100 - 250 m (Sedang),500 - 1000 mm/th (Agak Rendah),8-15% (Landai),Sedang,Pundong
2999,Padang Rumput,">3,10 km/km2",Litosol,100 - 250 m (Sedang),500 - 1000 mm/th (Agak Rendah),15-25% (Agak Curam),Rendah,Pundong
3000,Padang Rumput,">3,10 km/km2",Litosol,100 - 250 m (Sedang),500 - 1000 mm/th (Agak Rendah),25-40% (Curam),Rendah,Pundong
3001,Padang Rumput,">3,10 km/km2",Litosol,100 - 250 m (Sedang),500 - 1000 mm/th (Agak Rendah),>40% (Sangat Curam),Rendah,Pundong
3002,Padang Rumput,">3,10 km/km2",Litosol,250 - 500 m (Jauh),500 - 1000 mm/th (Agak Rendah),0-8% (Datar),Rendah,Pundong
3003,Padang Rumput,">3,10 km/km2",Litosol,250 - 500 m (Jauh),500 - 1000 mm/th (Agak Rendah),8-15% (Landai),Rendah,Pundong
3004,Padang Rumput,">3,10 km/km2",Litosol,250 - 500 m (Jauh),500 - 1000 mm/th (Agak Rendah),15-25% (Agak Curam),Rendah,Pundong
3005,Padang Rumput,">3,10 km/km2",Litosol,250 - 500 m (Jauh),500 - 1000 mm/th (Agak Rendah),25-40% (Curam),Rendah,Pundong
3006,Padang Rumput,">3,10 km/km2",Litosol,250 - 500 m (Jauh),500 - 1000 mm/th (Agak Rendah),>40% (Sangat Curam),Rendah,Pundong
3007,Padang Rumput,">3,10 km/km2",Gleisol,0 - 50 m (Sangat Dekat),500 - 1000 mm/th (Agak Rendah),15-25% (Agak Curam),Sedang,Pundong
3008,Padang Rumput,">3,10 km/km2",Gleisol,0 - 50 m (Sangat Dekat),500 - 1000 mm/th (Agak Rendah),25-40% (Curam),Sedang,Pundong
3009,Padang Rumput,">3,10 km/km2",Gleisol,0 - 50 m (Sangat Dekat),500 - 1000 mm/th (Agak Rendah),>40% (Sangat Curam),Sedang,Pundong
3010,Padang Rumput,">3,10 km/km2",Gleisol,50 - 100 m (Dekat),500 - 1000 mm/th (Agak Rendah),0-8% (Datar),Sedang,Pundong
3011,Padang Rumput,">3,10 km/km2",Gleisol,50 - 100 m (Dekat),500 - 1000 mm/th (Agak Rendah),15-25% (Agak Curam),Sedang,Pundong
3012,Padang Rumput,">3,10 km/km2",Gleisol,50 - 100 m (Dekat),500 - 1000 mm/th (Agak Rendah),25-40% (Curam),Sedang,Pundong
3013,Padang Rumput,">3,10 km/km2",Gleisol,50 - 100 m (Dekat),500 - 1000 mm/th (Agak Rendah),>40% (Sangat Curam),Sedang,Pundong
3014,Padang Rumput,">3,10 km/km2",Gleisol,100 - 250 m (Sedang),500 - 1000 mm/th (Agak Rendah),0-8% (Datar),Sedang,Pundong
3015,Padang Rumput,">3,10 km/km2",Gleisol,100 - 250 m (Sedang),500 - 1000 mm/th (Agak Rendah),8-15% (Landai),Sedang,Pundong
3016,Padang Rumput,">3,10 km/km2",Gleisol,100 - 250 m (Sedang),500 - 1000 mm/th (Agak Rendah),15-25% (Agak Curam),Sedang,Pundong
3017,Padang Rumput,">3,10 km/km2",Gleisol,100 - 250 m (Sedang),500 - 1000 mm/th (Agak Rendah),25-40% (Curam),Sedang,Pundong
3018,Padang Rumput,">3,10 km/km2",Gleisol,100 - 250 m (Sedang),500 - 1000 mm/th (Agak Rendah),>40% (Sangat Curam),Sedang,Pundong
3019,Padang Rumput,">3,10 km/km2",Gleisol,250 - 500 m (Jauh),500 - 1000 mm/th (Agak Rendah),8-15% (Landai),Rendah,Pundong
3020,Padang Rumput,">3,10 km/km2",Gleisol,250 - 500 m (Jauh),500 - 1000 mm/th (Agak Rendah),15-25% (Agak Curam),Rendah,Pundong
3021,Padang Rumput,">3,10 km/km2",Gleisol,250 - 500 m (Jauh),500 - 1000 mm/th (Agak Rendah),25-40% (Curam),Rendah,Pundong
3022,Padang Rumput,">3,10 km/km2",Gleisol,250 - 500 m (Jauh),500 - 1000 mm/th (Agak Rendah),>40% (Sangat Curam),Rendah,Pundong
3023,Padang Rumput,">3,10 km/km2",Fluvisol,>500 m (Sangat Jauh),500 - 1000 mm/th (Agak Rendah),0-8% (Datar),Rendah,Pundong
3024,Padang Rumput,">3,10 km/km2",Fluvisol,>500 m (Sangat Jauh),500 - 1000 mm/th (Agak Rendah),8-15% (Landai),Rendah,Pundong
3025,Padang Rumput,">3,10 km/km2",Fluvisol,>500 m (Sangat Jauh),500 - 1000 mm/th (Agak Rendah),15-25% (Agak Curam),Rendah,Pundong
3026,Padang Rumput,">3,10 km/km2",Fluvisol,>500 m (Sangat Jauh),500 - 1000 mm/th (Agak Rendah),25-40% (Curam),Rendah,Pundong
3027,Padang Rumput,">3,10 km/km2",Fluvisol,>500 m (Sangat Jauh),500 - 1000 mm/th (Agak Rendah),>40% (Sangat Curam),Rendah,Pundong
3028,Padang Rumput,">3,10 km/km2",Fluvisol,0 - 50 m (Sangat Dekat),500 - 1000 mm/th (Agak Rendah),0-8% (Datar),Sedang,Pundong
3029,Padang Rumput,">3,10 km/km2",Fluvisol,0 - 50 m (Sangat Dekat),500 - 1000 mm/th (Agak Rendah),8-15% (Landai),Sedang,Pundong
3030,Padang Rumput,">3,10 km/km2",Fluvisol,0 - 50 m (Sangat Dekat),500 - 1000 mm/th (Agak Rendah),15-25% (Agak Curam),Sedang,Pundong
3031,Padang Rumput,">3,10 km/km2",Fluvisol,0 - 50 m (Sangat Dekat),500 - 1000 mm/th (Agak Rendah),25-40% (Curam),Sedang,Pundong
3032,Padang Rumput,">3,10 km/km2",Fluvisol,0 - 50 m (Sangat Dekat),500 - 1000 mm/th (Agak Rendah),>40% (Sangat Curam),Sedang,Pundong
3033,Padang Rumput,">3,10 km/km2",Fluvisol,50 - 100 m (Dekat),500 - 1000 mm/th (Agak Rendah),0-8% (Datar),Sedang,Pundong
3034,Padang Rumput,">3,10 km/km2",Fluvisol,50 - 100 m (Dekat),500 - 1000 mm/th (Agak Rendah),8-15% (Landai),Sedang,Pundong
3035,Padang Rumput,">3,10 km/km2",Fluvisol,50 - 100 m (Dekat),500 - 1000 mm/th (Agak Rendah),15-25% (Agak Curam),Sedang,Pundong
3036,Padang Rumput,">3,10 km/km2",Fluvisol,50 - 100 m (Dekat),500 - 1000 mm/th (Agak Rendah),25-40% (Curam),Sedang,Pundong
3037,Padang Rumput,">3,10 km/km2",Fluvisol,50 - 100 m (Dekat),500 - 1000 mm/th (Agak Rendah),>40% (Sangat Curam),Sedang,Pundong
3038,Padang Rumput,">3,10 km/km2",Fluvisol,100 - 250 m (Sedang),500 - 1000 mm/th (Agak Rendah),0-8% (Datar),Sedang,Pundong
3039,Padang Rumput,">3,10 km/km2",Fluvisol,100 - 250 m (Sedang),500 - 1000 mm/th (Agak Rendah),8-15% (Landai),Sedang,Pundong
3040,Padang Rumput,">3,10 km/km2",Fluvisol,100 - 250 m (Sedang),500 - 1000 mm/th (Agak Rendah),15-25% (Agak Curam),Sedang,Pundong
3041,Padang Rumput,">3,10 km/km2",Fluvisol,100 - 250 m (Sedang),500 - 1000 mm/th (Agak Rendah),25-40% (Curam),Sedang,Pundong
3042,Padang Rumput,">3,10 km/km2",Fluvisol,100 - 250 m (Sedang),500 - 1000 mm/th (Agak Rendah),>40% (Sangat Curam),Sedang,Pundong
3043,Padang Rumput,">3,10 km/km2",Fluvisol,250 - 500 m (Jauh),500 - 1000 mm/th (Agak Rendah),0-8% (Datar),Sedang,Pundong
3044,Padang Rumput,">3,10 km/km2",Fluvisol,250 - 500 m (Jauh),500 - 1000 mm/th (Agak Rendah),8-15% (Landai),Rendah,Pundong
3045,Padang Rumput,">3,10 km/km2",Fluvisol,250 - 500 m (Jauh),500 - 1000 mm/th (Agak Rendah),15-25% (Agak Curam),Rendah,Pundong
3046,Padang Rumput,">3,10 km/km2",Fluvisol,250 - 500 m (Jauh),500 - 1000 mm/th (Agak Rendah),25-40% (Curam),Rendah,Pundong
3047,Padang Rumput,">3,10 km/km2",Fluvisol,250 - 500 m (Jauh),500 - 1000 mm/th (Agak Rendah),>40% (Sangat Curam),Rendah,Pundong
3048,Badan Air,"0,62 - 1.44 km/km2",Litosol,>500 m (Sangat Jauh),500 - 1000 mm/th (Agak Rendah),0-8% (Datar),Sedang,Purwosari
3049,Badan Air,"0,62 - 1.44 km/km2",Litosol,>500 m (Sangat Jauh),500 - 1000 mm/th (Agak Rendah),8-15% (Landai),Sedang,Purwosari
3050,Badan Air,"0,62 - 1.44 km/km2",Litosol,>500 m (Sangat Jauh),500 - 1000 mm/th (Agak Rendah),15-25% (Agak Curam),Sedang,Purwosari
3051,Hutan Lahan Kering,"1,44 - 2,27 km/km2",Litosol,>500 m (Sangat Jauh),500 - 1000 mm/th (Agak Rendah),>40% (Sangat Curam),Rendah,Purwosari
3052,Hutan Lahan Kering,"1,44 - 2,27 km/km2",Litosol,50 - 100 m (Dekat),500 - 1000 mm/th (Agak Rendah),15-25% (Agak Curam),Sedang,Purwosari
3053,Hutan Lahan Kering,"1,44 - 2,27 km/km2",Litosol,50 - 100 m (Dekat),500 - 1000 mm/th (Agak Rendah),25-40% (Curam),Sedang,Purwosari
3054,Hutan Lahan Kering,"1,44 - 2,27 km/km2",Litosol,100 - 250 m (Sedang),500 - 1000 mm/th (Agak Rendah),0-8% (Datar),Rendah,Purwosari
3055,Hutan Lahan Kering,"1,44 - 2,27 km/km2",Litosol,100 - 250 m (Sedang),500 - 1000 mm/th (Agak Rendah),8-15% (Landai),Rendah,Purwosari
3056,Hutan Lahan Kering,"1,44 - 2,27 km/km2",Litosol,100 - 250 m (Sedang),500 - 1000 mm/th (Agak Rendah),15-25% (Agak Curam),Rendah,Purwosari
3057,Hutan Lahan Kering,"1,44 - 2,27 km/km2",Litosol,100 - 250 m (Sedang),500 - 1000 mm/th (Agak Rendah),25-40% (Curam),Rendah,Purwosari
3058,Hutan Lahan Kering,"1,44 - 2,27 km/km2",Litosol,100 - 250 m (Sedang),500 - 1000 mm/th (Agak Rendah),>40% (Sangat Curam),Rendah,Purwosari
3059,Hutan Lahan Kering,"1,44 - 2,27 km/km2",Litosol,250 - 500 m (Jauh),500 - 1000 mm/th (Agak Rendah),0-8% (Datar),Rendah,Purwosari
3060,Hutan Lahan Kering,"1,44 - 2,27 km/km2",Litosol,250 - 500 m (Jauh),500 - 1000 mm/th (Agak Rendah),8-15% (Landai),Rendah,Purwosari
3061,Hutan Lahan Kering,"1,44 - 2,27 km/km2",Litosol,250 - 500 m (Jauh),500 - 1000 mm/th (Agak Rendah),15-25% (Agak Curam),Rendah,Purwosari
3062,Hutan Lahan Kering,"1,44 - 2,27 km/km2",Litosol,250 - 500 m (Jauh),500 - 1000 mm/th (Agak Rendah),25-40% (Curam),Rendah,Purwosari
3063,Hutan Lahan Kering,"1,44 - 2,27 km/km2",Litosol,250 - 500 m (Jauh),500 - 1000 mm/th (Agak Rendah),>40% (Sangat Curam),Rendah,Purwosari
3064,Hutan Lahan Kering,"1,44 - 2,27 km/km2",Fluvisol,250 - 500 m (Jauh),500 - 1000 mm/th (Agak Rendah),0-8% (Datar),Rendah,Purwosari
3065,Hutan Lahan Kering,"1,44 - 2,27 km/km2",Fluvisol,250 - 500 m (Jauh),500 - 1000 mm/th (Agak Rendah),8-15% (Landai),Rendah,Purwosari
3066,Hutan Lahan Kering,"1,44 - 2,27 km/km2",Fluvisol,250 - 500 m (Jauh),500 - 1000 mm/th (Agak Rendah),15-25% (Agak Curam),Rendah,Purwosari
3067,Hutan Lahan Kering,"1,44 - 2,27 km/km2",Fluvisol,250 - 500 m (Jauh),500 - 1000 mm/th (Agak Rendah),25-40% (Curam),Rendah,Purwosari
3068,Hutan Lahan Kering,"1,44 - 2,27 km/km2",Fluvisol,250 - 500 m (Jauh),500 - 1000 mm/th (Agak Rendah),>40% (Sangat Curam),Rendah,Purwosari
3069,Hutan Lahan Kering,"2,27 - 3,10 km/km2",Litosol,>500 m (Sangat Jauh),500 - 1000 mm/th (Agak Rendah),0-8% (Datar),Rendah,Purwosari
3070,Hutan Lahan Kering,"2,27 - 3,10 km/km2",Litosol,>500 m (Sangat Jauh),500 - 1000 mm/th (Agak Rendah),8-15% (Landai),Rendah,Purwosari
3071,Hutan Lahan Kering,"2,27 - 3,10 km/km2",Litosol,>500 m (Sangat Jauh),500 - 1000 mm/th (Agak Rendah),15-25% (Agak Curam),Rendah,Purwosari
3072,Hutan Lahan Kering,"2,27 - 3,10 km/km2",Litosol,>500 m (Sangat Jauh),500 - 1000 mm/th (Agak Rendah),25-40% (Curam),Rendah,Purwosari
3073,Hutan Lahan Kering,"2,27 - 3,10 km/km2",Litosol,>500 m (Sangat Jauh),500 - 1000 mm/th (Agak Rendah),>40% (Sangat Curam),Rendah,Purwosari
3074,Hutan Lahan Kering,"2,27 - 3,10 km/km2",Litosol,0 - 50 m (Sangat Dekat),500 - 1000 mm/th (Agak Rendah),15-25% (Agak Curam),Sedang,Purwosari
3075,Hutan Lahan Kering,"2,27 - 3,10 km/km2",Litosol,0 - 50 m (Sangat Dekat),500 - 1000 mm/th (Agak Rendah),25-40% (Curam),Sedang,Purwosari
3076,Hutan Lahan Kering,"2,27 - 3,10 km/km2",Litosol,0 - 50 m (Sangat Dekat),500 - 1000 mm/th (Agak Rendah),>40% (Sangat Curam),Sedang,Purwosari
3077,Hutan Lahan Kering,"2,27 - 3,10 km/km2",Litosol,50 - 100 m (Dekat),500 - 1000 mm/th (Agak Rendah),8-15% (Landai),Sedang,Purwosari
3078,Hutan Lahan Kering,"2,27 - 3,10 km/km2",Litosol,50 - 100 m (Dekat),500 - 1000 mm/th (Agak Rendah),15-25% (Agak Curam),Sedang,Purwosari
3079,Hutan Lahan Kering,"2,27 - 3,10 km/km2",Litosol,50 - 100 m (Dekat),500 - 1000 mm/th (Agak Rendah),25-40% (Curam),Rendah,Purwosari
3080,Hutan Lahan Kering,"2,27 - 3,10 km/km2",Litosol,50 - 100 m (Dekat),500 - 1000 mm/th (Agak Rendah),>40% (Sangat Curam),Rendah,Purwosari
3081,Hutan Lahan Kering,"2,27 - 3,10 km/km2",Litosol,100 - 250 m (Sedang),500 - 1000 mm/th (Agak Rendah),0-8% (Datar),Rendah,Purwosari
3082,Hutan Lahan Kering,"2,27 - 3,10 km/km2",Litosol,100 - 250 m (Sedang),500 - 1000 mm/th (Agak Rendah),8-15% (Landai),Rendah,Purwosari
3083,Hutan Lahan Kering,"2,27 - 3,10 km/km2",Litosol,100 - 250 m (Sedang),500 - 1000 mm/th (Agak Rendah),15-25% (Agak Curam),Rendah,Purwosari
3084,Hutan Lahan Kering,"2,27 - 3,10 km/km2",Litosol,100 - 250 m (Sedang),500 - 1000 mm/th (Agak Rendah),25-40% (Curam),Rendah,Purwosari
3085,Hutan Lahan Kering,"2,27 - 3,10 km/km2",Litosol,100 - 250 m (Sedang),500 - 1000 mm/th (Agak Rendah),>40% (Sangat Curam),Rendah,Purwosari
3086,Hutan Lahan Kering,"2,27 - 3,10 km/km2",Litosol,250 - 500 m (Jauh),500 - 1000 mm/th (Agak Rendah),0-8% (Datar),Rendah,Purwosari
3087,Hutan Lahan Kering,"2,27 - 3,10 km/km2",Litosol,250 - 500 m (Jauh),500 - 1000 mm/th (Agak Rendah),8-15% (Landai),Rendah,Purwosari
3088,Hutan Lahan Kering,"2,27 - 3,10 km/km2",Litosol,250 - 500 m (Jauh),500 - 1000 mm/th (Agak Rendah),15-25% (Agak Curam),Rendah,Purwosari
3089,Hutan Lahan Kering,"2,27 - 3,10 km/km2",Litosol,250 - 500 m (Jauh),500 - 1000 mm/th (Agak Rendah),25-40% (Curam),Rendah,Purwosari
3090,Hutan Lahan Kering,"2,27 - 3,10 km/km2",Litosol,250 - 500 m (Jauh),500 - 1000 mm/th (Agak Rendah),>40% (Sangat Curam),Rendah,Purwosari
3091,Hutan Lahan Kering,"2,27 - 3,10 km/km2",Fluvisol,0 - 50 m (Sangat Dekat),500 - 1000 mm/th (Agak Rendah),>40% (Sangat Curam),Sedang,Purwosari
3092,Hutan Lahan Kering,"2,27 - 3,10 km/km2",Fluvisol,50 - 100 m (Dekat),500 - 1000 mm/th (Agak Rendah),25-40% (Curam),Sedang,Purwosari
3093,Hutan Lahan Kering,"2,27 - 3,10 km/km2",Fluvisol,50 - 100 m (Dekat),500 - 1000 mm/th (Agak Rendah),>40% (Sangat Curam),Sedang,Purwosari
3094,Hutan Lahan Kering,"2,27 - 3,10 km/km2",Fluvisol,100 - 250 m (Sedang),500 - 1000 mm/th (Agak Rendah),15-25% (Agak Curam),Rendah,Purwosari
3095,Hutan Lahan Kering,"2,27 - 3,10 km/km2",Fluvisol,100 - 250 m (Sedang),500 - 1000 mm/th (Agak Rendah),25-40% (Curam),Rendah,Purwosari
3096,Hutan Lahan Kering,"2,27 - 3,10 km/km2",Fluvisol,100 - 250 m (Sedang),500 - 1000 mm/th (Agak Rendah),>40% (Sangat Curam),Rendah,Purwosari
3097,Hutan Lahan Kering,"2,27 - 3,10 km/km2",Fluvisol,250 - 500 m (Jauh),500 - 1000 mm/th (Agak Rendah),8-15% (Landai),Rendah,Purwosari
3098,Hutan Lahan Kering,"2,27 - 3,10 km/km2",Fluvisol,250 - 500 m (Jauh),500 - 1000 mm/th (Agak Rendah),15-25% (Agak Curam),Rendah,Purwosari
3099,Hutan Lahan Kering,"2,27 - 3,10 km/km2",Fluvisol,250 - 500 m (Jauh),500 - 1000 mm/th (Agak Rendah),25-40% (Curam),Rendah,Purwosari
3100,Hutan Lahan Kering,"2,27 - 3,10 km/km2",Fluvisol,250 - 500 m (Jauh),500 - 1000 mm/th (Agak Rendah),>40% (Sangat Curam),Rendah,Purwosari
3101,Hutan Lahan Kering,">3,10 km/km2",Litosol,>500 m (Sangat Jauh),500 - 1000 mm/th (Agak Rendah),15-25% (Agak Curam),Rendah,Purwosari
3102,Hutan Lahan Kering,">3,10 km/km2",Litosol,>500 m (Sangat Jauh),500 - 1000 mm/th (Agak Rendah),25-40% (Curam),Rendah,Purwosari
3103,Hutan Lahan Kering,">3,10 km/km2",Litosol,>500 m (Sangat Jauh),500 - 1000 mm/th (Agak Rendah),>40% (Sangat Curam),Rendah,Purwosari
3104,Hutan Lahan Kering,">3,10 km/km2",Litosol,0 - 50 m (Sangat Dekat),500 - 1000 mm/th (Agak Rendah),25-40% (Curam),Sedang,Purwosari
3105,Hutan Lahan Kering,">3,10 km/km2",Litosol,0 - 50 m (Sangat Dekat),500 - 1000 mm/th (Agak Rendah),>40% (Sangat Curam),Sedang,Purwosari
3106,Hutan Lahan Kering,">3,10 km/km2",Litosol,50 - 100 m (Dekat),500 - 1000 mm/th (Agak Rendah),25-40% (Curam),Rendah,Purwosari
3107,Hutan Lahan Kering,">3,10 km/km2",Litosol,50 - 100 m (Dekat),500 - 1000 mm/th (Agak Rendah),>40% (Sangat Curam),Rendah,Purwosari
3108,Hutan Lahan Kering,">3,10 km/km2",Litosol,100 - 250 m (Sedang),500 - 1000 mm/th (Agak Rendah),8-15% (Landai),Rendah,Purwosari
3109,Hutan Lahan Kering,">3,10 km/km2",Litosol,100 - 250 m (Sedang),500 - 1000 mm/th (Agak Rendah),15-25% (Agak Curam),Rendah,Purwosari
3110,Hutan Lahan Kering,">3,10 km/km2",Litosol,100 - 250 m (Sedang),500 - 1000 mm/th (Agak Rendah),25-40% (Curam),Rendah,Purwosari
3111,Hutan Lahan Kering,">3,10 km/km2",Litosol,100 - 250 m (Sedang),500 - 1000 mm/th (Agak Rendah),>40% (Sangat Curam),Rendah,Purwosari
3112,Hutan Lahan Kering,">3,10 km/km2",Litosol,250 - 500 m (Jauh),500 - 1000 mm/th (Agak Rendah),0-8% (Datar),Rendah,Purwosari
3113,Hutan Lahan Kering,">3,10 km/km2",Litosol,250 - 500 m (Jauh),500 - 1000 mm/th (Agak Rendah),8-15% (Landai),Rendah,Purwosari
3114,Hutan Lahan Kering,">3,10 km/km2",Litosol,250 - 500 m (Jauh),500 - 1000 mm/th (Agak Rendah),15-25% (Agak Curam),Rendah,Purwosari
3115,Hutan Lahan Kering,">3,10 km/km2",Litosol,250 - 500 m (Jauh),500 - 1000 mm/th (Agak Rendah),25-40% (Curam),Rendah,Purwosari
3116,Hutan Lahan Kering,">3,10 km/km2",Litosol,250 - 500 m (Jauh),500 - 1000 mm/th (Agak Rendah),>40% (Sangat Curam),Rendah,Purwosari
3117,Hutan Lahan Kering,">3,10 km/km2",Fluvisol,250 - 500 m (Jauh),500 - 1000 mm/th (Agak Rendah),15-25% (Agak Curam),Rendah,Purwosari
3118,Hutan Lahan Kering,">3,10 km/km2",Fluvisol,250 - 500 m (Jauh),500 - 1000 mm/th (Agak Rendah),25-40% (Curam),Rendah,Purwosari
3119,Tananman Campuran,"0,62 - 1.44 km/km2",Litosol,>500 m (Sangat Jauh),500 - 1000 mm/th (Agak Rendah),0-8% (Datar),Rendah,Purwosari
3120,Tananman Campuran,"0,62 - 1.44 km/km2",Litosol,>500 m (Sangat Jauh),500 - 1000 mm/th (Agak Rendah),>40% (Sangat Curam),Rendah,Purwosari
3121,Tananman Campuran,"1,44 - 2,27 km/km2",Litosol,>500 m (Sangat Jauh),500 - 1000 mm/th (Agak Rendah),0-8% (Datar),Rendah,Purwosari
3122,Tananman Campuran,"1,44 - 2,27 km/km2",Litosol,>500 m (Sangat Jauh),500 - 1000 mm/th (Agak Rendah),8-15% (Landai),Rendah,Purwosari
3123,Tananman Campuran,"1,44 - 2,27 km/km2",Litosol,>500 m (Sangat Jauh),500 - 1000 mm/th (Agak Rendah),15-25% (Agak Curam),Rendah,Purwosari
3124,Tananman Campuran,"1,44 - 2,27 km/km2",Litosol,>500 m (Sangat Jauh),500 - 1000 mm/th (Agak Rendah),25-40% (Curam),Rendah,Purwosari
3125,Tananman Campuran,"1,44 - 2,27 km/km2",Litosol,>500 m (Sangat Jauh),500 - 1000 mm/th (Agak Rendah),>40% (Sangat Curam),Rendah,Purwosari
3126,Tananman Campuran,"1,44 - 2,27 km/km2",Litosol,250 - 500 m (Jauh),500 - 1000 mm/th (Agak Rendah),15-25% (Agak Curam),Rendah,Purwosari
3127,Tananman Campuran,"2,27 - 3,10 km/km2",Litosol,>500 m (Sangat Jauh),500 - 1000 mm/th (Agak Rendah),0-8% (Datar),Rendah,Purwosari
3128,Tananman Campuran,"2,27 - 3,10 km/km2",Litosol,>500 m (Sangat Jauh),500 - 1000 mm/th (Agak Rendah),8-15% (Landai),Rendah,Purwosari
3129,Tananman Campuran,"2,27 - 3,10 km/km2",Litosol,>500 m (Sangat Jauh),500 - 1000 mm/th (Agak Rendah),15-25% (Agak Curam),Rendah,Purwosari
3130,Tananman Campuran,"2,27 - 3,10 km/km2",Litosol,>500 m (Sangat Jauh),500 - 1000 mm/th (Agak Rendah),25-40% (Curam),Rendah,Purwosari
3131,Tananman Campuran,"2,27 - 3,10 km/km2",Litosol,>500 m (Sangat Jauh),500 - 1000 mm/th (Agak Rendah),>40% (Sangat Curam),Rendah,Purwosari
3132,Tananman Campuran,"2,27 - 3,10 km/km2",Litosol,250 - 500 m (Jauh),500 - 1000 mm/th (Agak Rendah),0-8% (Datar),Rendah,Purwosari
3133,Tananman Campuran,"2,27 - 3,10 km/km2",Litosol,250 - 500 m (Jauh),500 - 1000 mm/th (Agak Rendah),8-15% (Landai),Rendah,Purwosari
3134,Tananman Campuran,"2,27 - 3,10 km/km2",Litosol,250 - 500 m (Jauh),500 - 1000 mm/th (Agak Rendah),15-25% (Agak Curam),Rendah,Purwosari
3135,Tananman Campuran,"2,27 - 3,10 km/km2",Litosol,250 - 500 m (Jauh),500 - 1000 mm/th (Agak Rendah),25-40% (Curam),Rendah,Purwosari
3136,Tananman Campuran,">3,10 km/km2",Fluvisol,50 - 100 m (Dekat),500 - 1000 mm/th (Agak Rendah),15-25% (Agak Curam),Sedang,Purwosari
3137,Tananman Campuran,">3,10 km/km2",Fluvisol,50 - 100 m (Dekat),500 - 1000 mm/th (Agak Rendah),25-40% (Curam),Sedang,Purwosari
